Index,Lat_Start,Lon_Start
1,40.69275,-74.05661
5,40.69321,-74.05653
10,40.69852,-74.06605
15,40.69974,-74.06701
20,40.69987,-74.06703
25,40.69991,-74.06708
30,40.70007,-74.0677
35,40.70212,-74.06953
40,40.70265,-74.06823
45,40.70221,-74.06763
50,40.70135,-74.06836
55,40.69932,-74.07199
60,40.69722,-74.07784
65,40.69599,-74.07973
70,40.68834,-74.08799
75,40.68677,-74.09105
80,40.68617,-74.09306
85,40.68604,-74.09371
90,40.68639,-74.09756
95,40.68755,-74.09944
100,40.69116,-74.10469
105,40.69713,-74.1242
110,40.69958,-74.13216
115,40.70161,-74.13884
120,40.70344,-74.1439
125,40.70539,-74.14767
130,40.70659,-74.15028
135,40.70726,-74.15033
140,40.70789,-74.15
145,40.70909,-74.14905
150,40.71089,-74.14642
155,40.71442,-74.13822
160,40.71756,-74.13469
165,40.71925,-74.13412
170,40.7206,-74.13386
175,40.72294,-74.13315
180,40.72584,-74.1315
185,40.73043,-74.12599
190,40.73315,-74.12402
195,40.7352,-74.1235
200,40.74041,-74.12302
205,40.74758,-74.11965
210,40.74902,-74.11824
215,40.75454,-74.10825
220,40.75655,-74.10237
225,40.75721,-74.0887
230,40.7586,-74.08344
235,40.76164,-74.07695
240,40.76206,-74.07601
245,40.76502,-74.06946
250,40.76595,-74.06774
255,40.76966,-74.0632
260,40.77413,-74.06008
265,40.77813,-74.05758
270,40.7798,-74.05652
275,40.80332,-74.03439
280,40.8101,-74.02992
285,40.82449,-74.02689
290,40.82694,-74.02608
295,40.83382,-74.02072
300,40.84,-74.01799
305,40.84408,-74.0175
310,40.85092,-74.01544
315,40.8583,-74.01177
320,40.86279,-74.01121
325,40.86398,-74.01074
330,40.86482,-74.00944
335,40.86554,-74.00705
340,40.87105,-74.00007
345,40.87436,-73.99391
350,40.87557,-73.98918
355,40.87521,-73.98572
360,40.87306,-73.98184
365,40.87108,-73.97939
370,40.86572,-73.97526
375,40.86379,-73.97466
380,40.85964,-73.97532
385,40.85797,-73.97465
390,40.85568,-73.97132
395,40.85483,-73.96965
400,40.85424,-73.96683
405,40.85311,-73.96029
410,40.85278,-73.95866
415,40.85172,-73.95325
420,40.85004,-73.94468
425,40.84939,-73.94131
430,40.84856,-73.9372
435,40.8462,-73.93144
440,40.84615,-73.93132
445,40.84602,-73.93074
450,40.84466,-73.92412
455,40.84505,-73.91029
460,40.84341,-73.89288
465,40.8425,-73.88988
470,40.83705,-73.87957
475,40.83601,-73.87063
480,40.83315,-73.86042
485,40.82842,-73.84603
490,40.82802,-73.84414
495,40.82882,-73.83703
500,40.83038,-73.83263
505,40.83444,-73.82561
510,40.83605,-73.82461
515,40.83692,-73.82461
520,40.83827,-73.82515
525,40.83925,-73.82537
530,40.84152,-73.82554
535,40.84571,-73.82575
540,40.8488,-73.82709
545,40.85339,-73.82623
550,40.8579,-73.82663
555,40.85945,-73.82714
560,40.86151,-73.82838
565,40.86601,-73.83129
570,40.86922,-73.83294
575,40.87196,-73.83392
580,40.8771,-73.834
585,40.87985,-73.83231
590,40.88247,-73.82867
595,40.88405,-73.82527
600,40.88665,-73.81243
605,40.88579,-73.80642
610,40.8868,-73.80339
615,40.88863,-73.80167
620,40.89427,-73.79861
625,40.89976,-73.796
630,40.90237,-73.79384
635,40.90562,-73.79163
640,40.90714,-73.79017
645,40.90841,-73.7875
650,40.91029,-73.78542
655,40.9127,-73.78438
660,40.91865,-73.77913
665,40.92496,-73.77135
670,40.92904,-73.7666
675,40.93024,-73.76398
680,40.93708,-73.75584
685,40.9429,-73.75035
690,40.94749,-73.74833
695,40.95555,-73.74239
700,40.95906,-73.74085
705,40.9611,-73.73888
710,40.96358,-73.73166
715,40.96514,-73.72907
720,40.96772,-73.7267
725,40.97216,-73.72476
730,40.97418,-73.72247
735,40.9752,-73.71875
740,40.97454,-73.7073
745,40.97584,-73.70078
750,40.9778,-73.69702
755,40.98112,-73.69215
760,40.98679,-73.68222
765,40.98773,-73.67752
770,40.98733,-73.66966
775,40.9889,-73.66542
780,41.00352,-73.65014
785,41.00777,-73.64668
790,41.01744,-73.63558
795,41.01824,-73.63424
800,41.01908,-73.63148
805,41.02019,-73.6241
810,41.02261,-73.61667
815,41.02691,-73.6047
820,41.02778,-73.60272
825,41.02917,-73.60098
830,41.03368,-73.59734
835,41.03791,-73.58845
840,41.04142,-73.5763
845,41.04485,-73.56585
850,41.04418,-73.55531
855,41.04495,-73.55045
860,41.04874,-73.53833
865,41.05161,-73.5315
870,41.05377,-73.52778
875,41.05675,-73.51464
880,41.066,-73.5056
885,41.06792,-73.50162
890,41.06784,-73.4925
895,41.06874,-73.48888
900,41.07166,-73.47805
905,41.07543,-73.46618
910,41.07944,-73.46308
915,41.08476,-73.4596
920,41.08749,-73.45757
925,41.08912,-73.45498
930,41.09243,-73.44765
935,41.0977,-73.44179
940,41.10464,-73.42839
945,41.10646,-73.42246
950,41.10667,-73.41381
955,41.112,-73.39554
960,41.11324,-73.39132
965,41.11519,-73.38728
970,41.11946,-73.37929
975,41.1209,-73.36656
980,41.12337,-73.3401
985,41.12085,-73.32752
990,41.12043,-73.32432
995,41.1214,-73.31935
1000,41.12455,-73.31023
1005,41.12617,-73.30472
1010,41.12885,-73.29952
1015,41.14064,-73.28524
1020,41.14182,-73.2814
1025,41.14328,-73.26752
1030,41.14863,-73.25174
1035,41.15023,-73.24869
1040,41.15343,-73.24574
1045,41.15838,-73.24427
1050,41.16207,-73.24097
1055,41.16428,-73.23773
1060,41.16806,-73.2269
1065,41.16711,-73.21941
1070,41.16671,-73.20516
1075,41.16726,-73.20239
1080,41.17123,-73.192
1085,41.17235,-73.18994
1090,41.17619,-73.1864
1095,41.17835,-73.1838
1100,41.17913,-73.1803
1105,41.17643,-73.17161
1110,41.17554,-73.16857
1115,41.17457,-73.15578
1120,41.17559,-73.15164
1125,41.18109,-73.14488
1130,41.18384,-73.13981
1135,41.18549,-73.13775
1140,41.19334,-73.13163
1145,41.19446,-73.12996
1150,41.19607,-73.12388
1155,41.19713,-73.12062
1160,41.2001,-73.11647
1165,41.20393,-73.11231
1170,41.20709,-73.10009
1175,41.20785,-73.09469
1180,41.20992,-73.09086
1185,41.216,-73.08431
1190,41.21744,-73.08221
1195,41.22679,-73.07551
1200,41.22977,-73.07336
1205,41.23353,-73.0688
1210,41.23623,-73.06348
1215,41.2372,-73.05906
1220,41.23709,-73.05283
1225,41.23306,-73.03766
1230,41.2334,-73.03294
1235,41.23414,-73.03116
1240,41.24096,-73.01759
1245,41.24897,-73.00512
1250,41.25551,-72.99638
1255,41.26726,-72.97578
1260,41.27036,-72.97207
1265,41.27552,-72.96863
1270,41.27722,-72.96625
1275,41.28374,-72.95038
1280,41.28421,-72.94629
1285,41.28333,-72.94097
1290,41.28496,-72.92807
1295,41.29273,-72.91986
1300,41.29809,-72.91608
1305,41.30009,-72.91508
1310,41.30144,-72.91292
1315,41.30166,-72.9096
1320,41.30046,-72.90679
1325,41.29662,-72.90237
1330,41.29351,-72.90127
1335,41.29129,-72.89892
1340,41.28937,-72.89396
1345,41.28391,-72.87179
1350,41.28174,-72.86495
1355,41.28415,-72.8461
1360,41.28741,-72.82506
1365,41.28924,-72.81473
1370,41.2914,-72.80838
1375,41.29173,-72.80687
1380,41.2945,-72.78878
1385,41.29348,-72.77996
1390,41.29547,-72.76346
1395,41.2975,-72.71471
1400,41.29623,-72.69797
1405,41.29456,-72.6798
1410,41.29024,-72.66813
1415,41.28915,-72.65678
1420,41.28786,-72.60035
1425,41.29104,-72.58321
1430,41.29038,-72.56705
1435,41.28868,-72.55982
1440,41.28745,-72.53902
1445,41.2892,-72.5057
1450,41.29347,-72.49038
1455,41.29428,-72.48442
1460,41.29162,-72.47139
1465,41.29083,-72.46509
1470,41.29037,-72.42288
1475,41.29136,-72.41529
1480,41.29826,-72.39354
1485,41.30134,-72.38788
1490,41.30513,-72.37972
1495,41.30978,-72.36805
1500,41.3171,-72.35718
1505,41.31999,-72.34064
1510,41.32303,-72.33222
1515,41.32357,-72.32785
1520,41.31607,-72.28805
1525,41.32526,-72.25041
1530,41.32727,-72.24698
1535,41.32881,-72.24576
1540,41.33662,-72.24111
1545,41.34917,-72.22326
1550,41.37006,-72.20157
1555,41.37433,-72.19455
1560,41.37482,-72.19
1565,41.3732,-72.18331
1570,41.36817,-72.16566
1575,41.36813,-72.14954
1580,41.37122,-72.12472
1585,41.36956,-72.11846
1590,41.36539,-72.10603
1595,41.36397,-72.08546
1600,41.36447,-72.06962
1605,41.36187,-72.0585
1610,41.35894,-72.04913
1615,41.35957,-72.04314
1620,41.37096,-71.9974
1625,41.37199,-71.99391
1630,41.3719,-71.98597
1635,41.37116,-71.97211
1640,41.37486,-71.96021
1645,41.37229,-71.93685
1650,41.37261,-71.92557
1655,41.37994,-71.90153
1660,41.3863,-71.88267
1665,41.38979,-71.87574
1670,41.39691,-71.86682
